x,aij
0.871105986,1.430768541
0.747217296,1.428254484
0.628074325,1.425761765
0.513432618,1.423290128
0.40306188,1.420839321
0.296745068,1.418409094
0.194277542,1.415999204
0.095466272,1.41360941
0.000129103,1.411239473
